Time,UE1 RSRP,UE1 RSRQ,UE1 SINR,UE1 Datagrams Loss Ratio,UE1 Total Datagrams
19:28:21,-66,-11,30,0.00E+00,1829
19:28:22,-70,-11,30,0.00E+00,1825
19:28:23,-66,-11,30,0.00E+00,1839
19:28:24,-70,-11,29,0.00E+00,1828
19:28:25,-72,-11,29,0.00E+00,1832
19:28:26,-68,-11,29,0.00E+00,1830
19:28:27,-71,-11,30,0.00E+00,1832
19:28:28,-68,-11,30,0.00E+00,1830
19:28:29,-67,-11,29,0.00E+00,1830
19:28:30,-73,-11,29,0.00E+00,1838
19:28:31,-71,-11,29,0.00E+00,1822
19:28:32,-71,-11,31,0.00E+00,1833
19:28:33,-70,-11,30,0.00E+00,1837
19:28:34,-76,-11,30,0.00E+00,1825
19:28:35,,,,0.00E+00,1836
19:28:36,-71,-11,30,0.00E+00,1833
19:28:37,-75,-11,30,0.00E+00,1832
19:28:38,-67,-11,31,0.00E+00,1827
19:28:39,-72,-11,29,0.00E+00,1825
19:28:40,-72,-11,31,0.00E+00,1835
19:28:41,-72,-11,31,0.00E+00,1834
19:28:42,-70,-11,31,0.00E+00,1836
19:28:43,-72,-11,31,0.00E+00,1831
19:28:44,-69,-11,29,0.00E+00,1826
19:28:45,-73,-11,29,0.00E+00,1827
19:28:46,-72,-11,29,0.00E+00,1839
19:28:47,-71,-11,29,0.00E+00,1829
19:28:48,-69,-11,30,0.00E+00,1828
19:28:49,,,,0.00E+00,1832
19:28:50,-70,-11,30,0.00E+00,1833
19:28:51,-68,-11,29,0.00E+00,1826
19:28:52,-72,-11,30,0.00E+00,1839
19:28:53,-70,-11,30,0.00E+00,1831
19:28:54,-68,-11,30,0.00E+00,1823
19:28:55,-67,-11,30,0.00E+00,1833
19:28:56,-74,-11,31,0.00E+00,1836
19:28:57,-68,-11,31,0.00E+00,1832
19:28:58,-68,-11,30,0.00E+00,1825
19:28:59,-68,-11,30,0.00E+00,1828
19:29:00,-67,-11,31,0.00E+00,1845
19:29:01,-66,-11,31,0.00E+00,1822
19:29:02,,,,0.00E+00,1829
19:29:03,-75,-11,31,0.00E+00,1839
19:29:04,-74,-11,31,0.00E+00,1833
19:29:05,-71,-11,30,0.00E+00,1829
19:29:06,-71,-11,30,0.00E+00,1828
19:29:07,-71,-11,30,0.00E+00,1831
19:29:08,-70,-11,30,0.00E+00,1835
19:29:09,-69,-11,30,0.00E+00,1830
19:29:10,-69,-11,30,0.00E+00,1832
19:29:11,-70,-11,28,0.00E+00,1832
19:29:12,-77,-11,28,0.00E+00,1824
19:29:13,-76,-11,28,0.00E+00,1826
19:29:14,-72,-11,29,0.00E+00,1837
